OBJECTID,ORIGKEY,PMISYR,ROUTE_ID,FROM_MEASURE,TO_MEASURE,SYSTEM,ROUTE,DIR,BPOST,EPOST,PAVTYP,DESCRIPT,CONYR,RESYR,PMIS_LENGTH,LANE_MILES,MDIST,COUNTY,CITY,CITY 2,PCI_2,PCI_2DEF,RUT_INDX,IRI_INDX,FAULT_INDX,CRACK_INDX,IRI,FRICT,FRIDATE,FAULT,FAULTAV,RUT,CRACK_RATIO,T_INDX,L_INDX,LW_INDX,LLW_INDX,A_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,COVERAGE,CAPDAT,STRUC80,STRUCT_NEED80,STRUCAV,STRUCJTR,AVEK,FWD_DATE,TRYR,AADT,TRUCKS,NHS,SYS_NHS,URBAN,PCLASS,FCLASS,MEDIAN,MEDIAN_PCT,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,MLEVEL,WIDTH,WDRIVELN,RCURB,LCURB,ISHLDTIE,ISHLDTYP,ISHLDWID,OSHLDTIE,OSHLDTYP,OSHLDWID,COMPLEX,SUBDRAIN,SUBDPCT,SUBDMULT,TREATMENT,LAYR1,LAYR2,LAYR3,LAYR4,LAYR5,LAYR6,LAYR7,LAYR8,PROJECT1,PROJECT2,PROJECT3,PROJECT4,PROJECT5,PROJECT6,PROJECT7,PROJECT8,PROJTYP1,PROJTYP2,PROJTYP3,PROJTYP4,PROJTYP5,PROJTYP6,PROJTYP7,PROJTYP8,SURTYP1,SURTYP2,SURTYP3,SURTYP4,SURTYP5,SURTYP6,SURTYP7,SURTYP8,SURTHK1,SURTHK2,SURTHK3,SURTHK4,SURTHK5,SURTHK6,SURTHK7,SURTHK8,BASTYP1,BASTYP2,BASTYP3,BASTYP4,BASTYP5,BASTYP6,BASTYP7,BASTYP8,AGGCLAS1,AGGCLAS2,AGGCLAS3,AGGCLAS4,AGGCLAS5,AGGCLAS6,AGGCLAS7,AGGCLAS8,BASTHK1,BASTHK2,BASTHK3,BASTHK4,BASTHK5,BASTHK6,BASTHK7,BASTHK8,SUBTHK1,SUBTHK2,SUBTHK3,SUBTHK4,SUBTHK5,SUBTHK6,SUBTHK7,SUBTHK8,RMVTHK1,RMVTHK2,RMVTHK3,RMVTHK4,RMVTHK5,RMVTHK6,RMVTHK7,RMVTHK8,AGGSRC1,AGGSRC2,AGGSRC3,AGGSRC4,AGGSRC5,AGGSRC6,AGGSRC7,AGGSRC8,REMARKS1,REMARKS2,REMARKS3,REMARKS4,REMARKS5,REMARKS6,REMARKS7,REMARKS8,RMVTYP1,RMVTYP2,RMVTYP3,RMVTYP4,RMVTYP5,RMVTYP6,RMVTYP7,RMVTYP8,AGGTYP1,AGGTYP2,AGGTYP3,AGGTYP4,AGGTYP5,AGGTYP6,AGGTYP7,AGGTYP8,SUBTYP1,SUBTYP2,SUBTYP3,SUBTYP4,SUBTYP5,SUBTYP6,SUBTYP7,SUBTYP8,REST_UPDATED,REST_UTC_OFFSET,GLOBALID,PATCH_PCT,CONRTE,FAILURE_AREA,FAILURE_AREA_MI,FAILURE_CNT,FAILURE_CNT_MI,PATHWEB,STRUC_C_PCT,UNSEALCRK,Shape__Length
2282,03422262 83263 6729,2023,S001920034W,0,0.81558,2,34,2,262 83,263 67,3,From Osborn Street Overpass E To Iowa/Illinois State Line,1990,2015,0.82,1.79,5,29,977,977,85,C,86,85,,86,66.08,53,2023/07/18 00:00:00+00,,0,0.07,14.2,62,77,77,,100,0,0,0,0,0,310,0,0,609,0,0,611,0,0,0,,,0,0,0,0,0,43,2023/06/27 00:00:00+00,18.11,0,18.11,,195,2017/04/12 00:00:00+00,2023,5078,1742,Y,NHS,872,2,3,Y,97,2,55,65,13.5,4,10,6,B,22,,N,N,N,P,8,N,P,6,,,,,,2015,1990,,,,,,,NHSX-034-9(213)--3H-29,BRF-34-9(58)--38-2,,,,,,,,,,,,,,,HMA,PCC,,,,,,,1.5,10,,,,,,,HMA,GSB,,,,,,,4,,,,,,,,2,6,,,,,,,0,0,,,,,,,0,0,,,,,,,DONNELLSON_A5600,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,6e466bd1-d024-48be-9f8a-39ec5209bb88,0,163,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001920034W&logpoint=0.24999,3,91,1732.917427
2283,03511000 00001 4327,2023,S001910035N,0,1.4202,1,35,1,000 00,001 43,1,From Missouri/Iowa State Line North to 0.3 Mi S of Co J67,2016,,1.42,2.9,5,27,,0,89,,,86,78,97,62.36,46,2021/08/11 00:00:00+00,0,0.0265,0.12,2.54,98,,,100,,0,0,0,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,1,283,0,1,99,2023/05/30 00:00:00+00,,,,,,,2023,7166,5613,Y,Interstate,,1,1,Y,100,2,70,76,11,0,11,12,A,25,,N,N,N,P,6,N,P,8,N,IR-35-1(50)12-27,100,,PC,2016,,,,,,,,IMX-035-1(155)0--02-27,,,,,,,,O,,,,,,,,PCC,,,,,,,,11,,,,,,,,GSB,,,,,,,,4,,,,,,,,6,,,,,,,,12,,,,,,,,0,,,,,,,,EDDYVILLE-SOUTH_,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,MSB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,6a0ea110-0603-4e7c-a90a-507405b31c80,0,,51,35.8,6,4.2,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910035N&logpoint=0,1,100,3012.546569
2284,03511001 43002 3027,2023,S001910035N,1.4202,2.28597,1,35,1,001 43,002 30,1,From 0.3 Mi S to 0.6 Mi N of Co Rd J67,2016,,0.87,1.73,5,27,,0,87,,,83,78,95,69.73,47,2021/08/11 00:00:00+00,0,0.0265,0.11,4.66,96,,,100,,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,384,4,4,94,2023/05/30 00:00:00+00,,,,,,,2023,7250,5654,Y,Interstate,,1,1,Y,100,2,70,76,11,0,11,12,A,26,,N,N,N,P,6,N,P,10,N,IR-35-1(50)12-27,100,,PC,2016,,,,,,,,IMX-035-1(155)0--02-27,,,,,,,,O,,,,,,,,PCC,,,,,,,,11,,,,,,,,GSB,,,,,,,,4,,,,,,,,6,,,,,,,,12,,,,,,,,0,,,,,,,,EDDYVILLE-SOUTH_,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,MSB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,ebff992a-ac62-4031-b693-9b40a768eeb0,0,,3,3.5,1,1.2,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910035N&logpoint=1.4252,2,100,1836.046425
2285,03511002 30003 7227,2023,S001910035N,2.28597,3.71208,1,35,1,002 30,003 72,1,From 0.6 Mi N of Co Rd J67 North to 0.1 Mi S of US 69 Ichg,2016,,1.43,2.85,5,27,,0,91,,,88,81,99,57.75,48,2021/08/11 00:00:00+00,0,0.0225,0.1,0.83,99,,,100,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2023/05/30 00:00:00+00,,,,,,,2023,7250,5654,Y,Interstate,,1,1,Y,100,2,70,76,11,0,11,12,A,26,,N,N,N,P,4,N,P,8,Y,IR-35-1(50)12-27,100,,PC,2016,,,,,,,,IMX-035-1(155)0--02-27,,,,,,,,O,,,,,,,,PCC,,,,,,,,11,,,,,,,,GSB,,,,,,,,4,,,,,,,,6,,,,,,,,12,,,,,,,,0,,,,,,,,EDDYVILLE-SOUTH_,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,MSB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,c14913ec-9473-4b17-8593-b23579ee455c,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910035N&logpoint=2.28362,0,100,3027.919731
2286,03511003 72004 7227,2023,S001910035N,3.71208,4.74093,1,35,1,003 72,004 72,1,From 0.1 Mi S to 0.3 Mi N of the US 69 Interchange,2016,,1.03,2.06,5,27,,0,90,,,88,81,96,58.84,54,2023/07/17 00:00:00+00,0,0.0225,0.1,3.71,98,,,100,,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2023/05/30 00:00:00+00,,,,,,,2023,7141,5614,Y,Interstate,,1,1,Y,100,2,70,76,11,0,11,12,A,23,,N,N,N,P,6,N,P,10,N,IR-35-1(50)12-27,100,,PC,2016,,,,,,,,IMX-035-1(155)0--02-27,,,,,,,,O,,,,,,,,PCC,,,,,,,,11,,,,,,,,GSB,,,,,,,,4,,,,,,,,6,,,,,,,,12,,,,,,,,0,,,,,,,,EDDYVILLE-SOUTH_,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,MSB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,52672364-cae2-4a0a-ab5d-93f314e57fa9,0,,44,42.7,5,4.9,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910035N&logpoint=3.71253,1,100,2184.480751
2287,02831020 97022 6477,2023,S001930028N,20.00587,21.62168,3,28,1,020 97,022 64,3,From N JCT IA 28/US 6 North to north ramps JCT I-80/I-35,1969,2012,1.62,4.28,1,77,1945,1945,65,,59,55,,77,132.09,19,2023/08/28 00:00:00+00,0.1,0.0065,0.19,22.71,50,81,81,,100,0,0,5,1,48,332,11,80,350,0,106,339,0,0,0,0,2,0,0,651,162,10,99,2023/05/11 00:00:00+00,2.59,0,5.57,,175,2020/04/29 00:00:00+00,2023,12936,737,Y,NHS,71,2,3,Y,78,2,40,65,12,3,9,0,B,47,,Y,Y,N,N,0,N,N,0,Y,,,,AC,2012,1969,,,,,,,NHSN-028-2(43)--2R-77,DEFAULT-522,,,,,,,,,,,,,,,HMA,PCC,,,,,,,1.5,9,,,,,,,HMA,,,,,,,,5,,,,,,,,1.5,0,,,,,,,0,0,,,,,,,0,0,,,,,,,AMES MINE_A85006,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,fb1a99ef-91f6-4682-bf42-b75cf0076231,1,,22,13.7,4,2.5,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028N&logpoint=20.006,5,98,3488.884293
2288,02832009 23010 7091,2023,S001930028S,10.95533,12.42727,3,28,2,009 23,010 70,1,From JCT IA 28/Co G14 North To NCL Norwalk/SCL Des Moines,1985,,1.47,3.5,5,91,5587,5587,25,C,,24,26,26,199.92,48,2022/07/05 00:00:00+00,0.2,0.0885,0.14,73.97,90,,,0,,0,0,0,8,3,4,239,149,14,350,224,47,0,0,2,84,10,0,39,8653,4504,262,82,2023/05/09 00:00:00+00,3.97,0,4.81,76,113,2021/05/25 00:00:00+00,2023,8816,690,Y,NHS,71,4,3,Y,54,2,45,74,9,0,9,0,B,30,,Y,Y,N,N,0,N,N,0,N,,,,PC,1985,,,,,,,,F-28-1(2)--20-91,,,,,,,,,,,,,,,,PCC,,,,,,,,9,,,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,ARMY POST ROAD,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,9beb6924-6643-421a-9708-4b3a1983b67d,9,,1321,902.3,217,148.2,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=10.96867,4,100,3171.135774
2289,02832010 70011 1591,2023,S001930028S,10.51528,10.95533,3,28,2,010 70,011 15,1,From 0.1 Mi N of Columbine Dr North to Warren/Polk Co Line,2000,,0.44,0.94,5,91,5587,5587,59,,,46,61,72,151.98,51,2023/08/23 00:00:00+00,0.1,0.047,0.12,28.07,100,,,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,33,0,188,2,95,2023/05/09 00:00:00+00,4.02,0,6.09,91,141,2020/04/29 00:00:00+00,2023,9550,738,Y,NHS,71,4,3,Y,60,2,55,74,10.5,0,11,6,B,26,,Y,Y,Y,P,6,Y,P,3,N,,,,PC,2000,,,,,,,,AIP-3-19-0027-27,,,,,,,,,,,,,,,,PCC,,,,,,,,10.5,,,,,,,,GSB,,,,,,,,I,,,,,,,,6,,,,,,,,0,,,,,,,,0,,,,,,,,AMES MINE,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,1e807d03-79ae-40bd-baa3-11916a34272b,0,,113,257.5,44,100.3,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=10.51899,0,,946.8901376
2290,02832011 15011 5677,2023,S001930028S,10.10527,10.51528,3,28,2,011 15,011 56,1,From Warren/Polk Co. Line North to 0.2 Mi N of JCT IA 5,2000,,0.41,1.05,1,77,5587,5587,51,,,53,66,40,135.13,42,2021/08/11 00:00:00+00,0.1,0.0405,0.1,59.8,93,,,95,,0,0,0,0,11,0,8,0,28,0,0,16,0,0,0,27,5,0,24,1663,199,12,100,2023/05/09 00:00:00+00,5.81,0,6.73,,172,2014/11/03 00:00:00+00,2023,8450,591,Y,NHS,71,4,3,Y,88,3,55,74,10.5,0,11,6,B,30,,N,Y,Y,P,6,N,PG,10,Y,,,,PC,2000,,,,,,,,AIP-3-19-0027-27,,,,,,,,,,,,,,,,PCC,,,,,,,,10.5,,,,,,,,GSB,,,,,,,,I,,,,,,,,6,,,,,,,,0,,,,,,,,0,,,,,,,,AMES MINE,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,ec2cb5e7-ec74-488a-b41a-7159c6840fa3,1,,225,539.9,95,228,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=10.1026,3,100,881.7685049
2291,02832011 56012 5777,2023,S001930028S,9.07667,10.10527,3,28,2,011 56,012 57,1,From 0.2 Mi N of JCT IA 5 North to JCT IA 331,2000,,1.03,2.15,1,77,1945,1945,69,,,65,72,72,109.9,47,2022/07/26 00:00:00+00,0.1,0.034,0.1,27.72,97,,,99,,0,0,0,1,2,1,0,0,0,0,6,0,0,0,0,3,3,0,19,82,0,1,100,2023/05/09 00:00:00+00,5.69,0,6.71,,179,2014/11/03 00:00:00+00,2023,8250,586,Y,NHS,71,2,3,Y,100,2,55,74,10,0,10,6,B,26,,N,Y,Y,P,6,N,PG,10,N,,,,AC,2000,,,,,,,,AIP-3-19-0027-27,,,,,,,,,,,,,,,,PCC,,,,,,,,10,,,,,,,,GSB,,,,,,,,,,,,,,,,6,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,c619a057-b19f-446f-8757-b43c8a5f4c95,0,,212,206.4,76,74,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=9.075,1,100,2212.926944
2292,02832012 57015 6077,2023,S001930028S,5.99478,9.07667,3,28,2,012 57,015 60,1,From JCT IA 331 North to Park Ave.,1995,,3.08,7.57,1,77,8260,8260,56,,,58,55,55,125.44,43,2022/07/26 00:00:00+00,0.1,0.0535,0.13,44.69,97,,,99,,0,0,0,1,1,4,0,0,0,0,8,0,0,0,0,14,23,0,28,261,1197,51,95,2023/05/09 00:00:00+00,4.71,0,6.29,93,145,2015/09/02 00:00:00+00,2023,9820,777,Y,NHS,71,2,3,Y,100,2,50,74,9.5,0,10,6,B,29,,Y,Y,Y,P,0,N,PG,10,Y,,,,AC,1995,,,,,,,,NHS-28-2(13)--19-77,,,,,,,,,,,,,,,,PCC,,,,,,,,9.5,,,,,,,,GSB,,,,,,,,I,,,,,,,,6,,,,,,,,0,,,,,,,,0,,,,,,,,AMES MINE,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,44bc3b13-6ddb-489f-bde6-9901650729c9,1,,2148,698.1,444,144.3,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=5.99905,2,100,6644.13396
2293,02832015 60017 6077,2023,S001930028S,4.95168,5.99478,3,28,2,015 60,017 60,1,From Park Ave. North To Grand Ave.,1994,,1.04,2.92,1,77,8260,8260,29,,,22,40,30,203.85,43,2015/08/19 00:00:00+00,0.2,0.0715,0.19,70.08,64,,,63,,0,0,84,6,6,64,21,56,25,80,67,77,0,0,5,41,27,0,53,2402,2282,144,99,2023/05/09 00:00:00+00,2.31,0,5.16,,127,2014/11/03 00:00:00+00,2023,13400,1134,Y,NHS,71,2,3,Y,100,3,40,74,10,0,10,6,B,30,,Y,Y,N,N,0,N,N,0,Y,,,,AC,1994,,,,,,,,NHS-28-2(9)--19-77,,,,,,,,,,,,,,,,PCC,,,,,,,,10,,,,,,,,GSB,,,,,,,,,,,,,,,,6,,,,,,,,0,,,,,,,,0,,,,,,,,AMES MINE,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,8f217001-8d37-4d0d-bcde-bdbeb8d1af71,4,,2193,2098.8,323,309.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=4.951,4,100,2250.058958
2294,02832019 61019 6277,2023,S001930028S,2.92299,2.9303,3,28,2,019 61,019 62,3,INT IA 28/US 6 (Hickman Rd),1950,2003,0.01,0.02,1,77,1945,1945,91,"R,",100,77,,100,82.39,,,0,0,0,0,100,100,100,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,,,,,,,,2023,12600,280,Y,NHS,71,2,3,N,0,3,30,65,11,3,8,0,B,27,,Y,Y,N,N,0,N,N,0,,,,,AC,2003,1950,,,,,,,NHSN-28-2(35)--2R-77,DEFAULT-951,,,,,,,,,,,,,,,HMA,PCC,,,,,,,1.5,8,,,,,,,HMA,,,,,,,,,,,,,,,,1.5,0,,,,,,,0,0,,,,,,,0,0,,,,,,,,?,,,,,,,,ESTIMATED CONST. YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,9d42c337-3914-42df-9304-96a9f91485b8,,,,,,,,,,15.7767663
2295,02832020 97022 6177,2023,S001930028S,0,1.61756,3,28,2,020 97,022 61,3,From N JCT IA 28/US 6 North to JCT IA 28/I-80/I-35 (D.M.),1969,2012,1.62,4.4,1,77,7875,7875,67,,64,59,,75,122.58,25,2023/08/28 00:00:00+00,0.1,0.005,0.17,24.58,52,57,57,,100,0,0,155,1,14,359,0,130,947,0,78,1028,0,0,0,0,1,0,0,516,91,7,100,2023/05/09 00:00:00+00,5.08,0,7.15,,202,2020/04/29 00:00:00+00,2023,12984,727,Y,NHS,71,2,3,Y,77,3,40,65,12,3,9,0,B,32,,Y,Y,N,N,0,N,N,0,Y,,,,AC,2012,1969,,,,,,,NHSN-028-2(43)--2R-77,DEFAULT-811,,,,,,,,,,,,,,,HMA,PCC,,,,,,,1.5,9,,,,,,,HMA,,,,,,,,5,,,,,,,,1.5,0,,,,,,,0,0,,,,,,,0,0,,,,,,,AMES MINE_A85006,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,82b93ab4-6d75-416c-a760-790748a9f1b1,0,,21,13.1,7,4.4,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930028S&logpoint=0.001,8,99,3492.65737
2296,02911000 00008 9336,2023,S001910029N,0,8.93133,1,29,1,000 00,008 93,3B,From Missouri/Iowa State Line N To 1 Mi S Of JCT I-29/IA2,1972,2007,8.93,17.86,4,36,,0,72,,60,84,,65,67.2,58,2023/08/09 00:00:00+00,0,0,0.19,35.27,27,0,24,,98,0,92,139,0,121,406,0,2238,1105,4,744,880,0,0,0,0,0,0,0,213,51,1,98,2023/04/27 00:00:00+00,4.45,0,6.26,,195,2021/04/27 00:00:00+00,2023,7466,5722,Y,Interstate,,1,1,Y,100,2,70,65,14,6,8,4,A,24,,N,N,N,P,6,N,P,10,Y,,,,MS,2007,1972,,,,,,,IM-29-1(65)0--13-36,I-IG-29-1(16)0--04-36,,,,,,,,,,,,,,,HMA,PCC,,,,,,,2,8,,,,,,,HMA,CTB,,,,,,,,I,,,,,,,2,4,,,,,,,2,0,,,,,,,0,0,,,,,,,CRESCENT,WEEPING WATER,,,,,,,,CRC; AC VAR LOC. 1998,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,HMA,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,64fd976e-3f80-4747-8b52-a11505be53f8,0,,177,19.8,8,0.9,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910029N&logpoint=0,9,100,18950.58165
2297,02911008 93010 4036,2023,S001910029N,8.93133,10.39772,1,29,1,008 93,010 40,3B,From 1 Mi S Of JCT I-29/IA2 N To Riverton Interchange,1972,2007,1.47,2.93,4,36,,0,72,,62,85,,64,64.85,39,2021/07/07 00:00:00+00,,0,0.18,36.28,39,0,0,,92,0,353,474,0,99,340,0,2398,640,0,2153,1202,0,0,0,0,0,0,0,60,0,1,96,2023/04/27 00:00:00+00,4.08,0,6.33,,188,2013/04/09 00:00:00+00,2023,5600,3991,Y,Interstate,,1,1,Y,100,2,70,65,14,6,8,4,A,23,,N,N,N,P,6,N,P,10,Y,,,,AC,2007,1972,,,,,,,IM-29-1(65)0--13-36,I-29-1(13)10--01-36,,,,,,,,,,,,,,,HMA,PCC,,,,,,,2,8,,,,,,,HMA,CTB,,,,,,,,I,,,,,,,2,4,,,,,,,2,0,,,,,,,0,0,,,,,,,CRESCENT,WEEPING WATER,,,,,,,,CRC; AC VAR. LOC. 1998,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,HMA,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,d49d32d7-5212-4b51-b1e6-a31cf615a727,0,,34,23.2,6,4.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001910029N&logpoint=8.92874,20,100,3116.659602
2298,03021055 58056 5324,2023,S001920030E,55.71557,56.65095,2,30,1,055 58,056 53,3,From 0.1 Mi E of 20th St NE to 0.1 Mi SW of 35th St.,1958,1998,0.94,1.87,3,24,1920,1920,55,,53,73,,37,90.66,51,2022/07/12 00:00:00+00,,0,0.22,63.43,0,0,0,,100,0,0,89,0,0,853,0,0,4434,0,17,6252,0,0,0,0,0,0,0,0,0,0,100,2022/05/18 00:00:00+00,5.08,0,7.9,,185,2022/03/30 00:00:00+00,2023,3193,759,Y,NHS,814,2,3,Y,100,2,45,65,16,6,10,0,B,24,,N,Y,N,P,6,N,G,10,N,,,,AC,1998,1982,1958,,,,,,NHSN-30-2(103)--2R-24,FR-30-2(42)--2G-24,F-1053(1),,,,,,,,,,,,,,AAC,AAC,PCC,,,,,,1.5,1,10,,,,,,AAC,,,,,,,,,,,,,,,,3.5,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,UREN,GILMORE/SACTON,HALLETT,,,,,,,,,,,,,,,,,,,,,,GRAVEL,C.LST/G,GRAVEL,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,60837cc4-dee8-428a-89dd-95370c0770e6,0,,26,27.7,1,1.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001920030E&logpoint=55.70997,40,66,2024.453015
2299,03021056 53061 3924,2023,S001920030E,56.65095,61.49663,2,30,1,056 53,061 39,3,From 0.1 Mi SW of 35th St NE to 0.5 Mi W of 330th St.,1930,1998,4.85,10.09,3,24,,0,65,,42,80,,62,76.93,62,2021/07/30 00:00:00+00,,0,0.27,38.1,17,4,0,,100,0,3,425,0,57,582,0,139,2316,0,194,2395,0,0,0,0,0,0,0,80,0,1,99,2022/05/18 00:00:00+00,4.35,0,5.31,,170,2022/06/01 00:00:00+00,2023,4420,760,Y,NHS,814,2,3,N,18,2,55,65,15,8,7,0,B,25,,N,Y,N,G,10,N,G,10,N,NHS-30-2(58)-19-24,100,,MS,1998,1982,1960,1930,,,,,NHSN-30-2(103)--2R-24,FR-30-2(42)2G-24,FN-1055,P-289ABC,,,,,,,,,,,,,AAC,AAC,AAC,PC7,,,,,1.5,1,3,7,,,,,AAC,,,,,,,,,,,3,,,,,3.5,0,0,0,,,,,0,0,0,0,,,,,0,1,0,0,,,,,UREN,GILMORE CITY,,LAKE VIEW,,,,,,VL 95AC MP,,,,,,,,SCR,,,,,,,GRAVEL,C.LST.,,GRAVEL,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,6399a412-320a-4b8e-b06e-5f054e3b8562,0,,770,158.7,54,11.1,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001920030E&logpoint=56.64836,18,88,10490.0833
2300,03021061 39062 2024,2023,S001920030E,61.49663,62.306,2,30,1,061 39,062 20,4,From 0.5 Mi W of 330th St NE to 0.4 Mi E of 330th St,1998,,0.81,1.62,3,24,,0,66,,46,77,,67,83.74,62,2021/07/30 00:00:00+00,,0,0.26,33.5,0,25,52,,100,0,0,349,0,63,483,0,242,1620,0,114,1096,0,0,0,0,0,0,0,0,0,0,100,2022/05/18 00:00:00+00,6.42,0,7.21,,177,2022/06/01 00:00:00+00,2023,4080,760,Y,NHS,,2,3,N,0,2,55,69,12,12,0,0,B,24,,N,N,N,G,10,N,G,10,N,NHS-30-2(58)-19-24,100,,AC,1998,,,,,,,,NHSN-30-2(103)--2R-24,,,,,,,,,,,,,,,,AAC,,,,,,,,1.5,,,,,,,,AAC,,,,,,,,,,,,,,,,1.5,,,,,,,,9,,,,,,,,0,,,,,,,,UREN,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL,,,,,,,,TBB,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,4e4d6c17-7345-4284-9a37-014c7871c77d,0,,622,772.3,85,105.5,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001920030E&logpoint=61.50021,9,100,1754.484145
